鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號,
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year,month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
豐原區,土地,育仁段811~840地號,26.05,住,,,1070201,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1591655,61100,,0,0,向政府機關承購之案件。,RPPOMLMKMHNFFDB67CA,
豐原區,土地,大順段121~150地號,75.1,工,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2000000,26631,,0,0,上有未保存建物。權利人為二人，持分為各1/2。,RPSOMLMKMHNFFDB97CA,
豐原區,房地(土地+建物)+車位,臺中市豐原區向陽路31~60號,10.27,商,,,1070301,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860602,123.75,3,2,2,有,有,5300000,42828,坡道機械,0,0,,RPQNMLNKMHNFFDB77CA,
豐原區,房地(土地+建物),臺中市豐原區成功路356巷1~30號,26.98,住,,,1070301,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740920,88.63,3,2,1,有,無,2800000,31592,,0,0,含增建或未登記建物。,RPVNMLNKMHNFFDB28CA,
豐原區,土地,車路墘段車路墘小段91~120地號,178,農,,,1070101,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3360000,18876,,0,0,,RPWNMLNKMHNFFDB38CA,
后里區,房地(土地+建物),臺中市后里區南村路436巷1~30號,90.12,住,,,1070301,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050721,185.85,3,2,3,有,無,9330000,50202,,0,0,含增建或未登記建物約4.5坪。,RPSOMLQKMHNFFDB38CA,
豐原區,房地(土地+建物),臺中市豐原區三村路合作新村31~60號,39.5,住,,,1070301,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,880318,72.92,3,2,2,有,無,3400000,46626,,0,0,親友、員工或其他特殊關係間之交易。,RPUNMLSKMHNFFDB68CA,
神岡區,房地(土地+建物),臺中市神岡區新興路1~30號,87.18,,鄉村區,乙種建築用地,1070301,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1021028,220.71,5,1,6,有,無,8500000,38512,,0,0,,RPTNMLTKMHNFFDB68CA,
豐原區,土地,豐原段751~780地號,86,住,,,1070101,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,4295118,49943,,0,0,,RPTNMLKMMHNFFDB97CA,
神岡區,房地(土地+建物)+車位,臺中市神岡區文昌街151~180號,40.77,住,,,1070301,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061227,123.9,3,1,2,有,有,6950000,55219,坡道機械,11.62,750000,,RPWNMLTJNHNFFDB98CA,
